isbn	douban_id	blog_link	title_zh	subtitle_zh	title	author	publisher	published_date	pages	purchasing_date	begin_reading_date	finish_reading_date	douban_rating	rating	auto_update	updated_date
9787535447340	19940743	NA	文化苦旅	余秋雨三十年散文自选集	NA	余秋雨	长江文艺出版社	2014-2	287	2016-05-05	NA	NA	8.1	NA	1	2019-01-31
9787214149879	25759355	NA	边城	2013最新修订纪念典藏版	NA	沈从文	武汉出版社	2013-9-1	361	2016-05-05	NA	NA	8.6	NA	1	2019-01-31
9787121272295	26652329	NA	失控	全人类的最终命运和结局	Out of Control	[美] 凯文·凯利	译言·东西文库／电子工业出版社	2016-1	739	2016-03-10	NA	NA	8.5	NA	1	2019-01-31
9787508636238	20366368	NA	公正	NA	Justice: What's the Right Thing to Do?	[美] 迈克尔·桑德尔	中信出版社	2012-11-30	320	2016-01-19	NA	NA	9	NA	1	2019-01-31
9787549564125	26371102	NA	亲爱的安德烈（插图第2版）	两代共读的36封家书	NA	龙应台、安德烈 合著	广西师范大学出版社	2015-4	276	2016-01-06	NA	NA	8.6	NA	1	2019-01-31
9787508654850	26632580	NA	只要不忘了回家的路	NA	NA	小鹏	中信出版社	2015-10-1	320	2016-01-06	NA	NA	7.5	NA	1	2019-01-31
9787549550173	25809269	NA	目送	龙应台“人生三书”之三	NA	龙应台	广西师范大学出版社	2014-1	296	2016-01-06	NA	NA	8.5	NA	1	2019-01-31
9787508635040	11614288	NA	我们为什么旅行	NA	NA	小鹏	中信出版社	2012-9	272	2016-01-06	NA	NA	7.2	NA	1	2019-01-31
9787513303699	6794016	NA	如何成为一个怪物	NA	NA	冯唐	新星出版社	2011-10	363	2016-01-06	NA	NA	7.5	NA	1	2019-01-31
9789570524888	5368844	NA	新人生觀-修訂本	NA	NA	羅家倫 / 周玉山 修訂	臺灣商務印書館	2010-6	224	2016-01-04	NA	2017-10-31	NA	9	1	2019-01-31
9789868456938	3380388	NA	惡搞研習營	NA	NA	[美] 恰克·帕拉尼克	小異出版	2008-12-24	448	2016-01-04	NA	NA	8.9	NA	1	2019-01-31
9787538743241	26357936	NA	不念过往  念远方	NA	NA	徐昊原	时代文艺出版社	2015-5-1	224	2015-12-14	NA	NA	NA	NA	1	2019-01-31
9787550263024	26628313	NA	柴犬绅士	都市型男好品位穿搭指南	MENSWEAR DOG PRESENTS THE NEW CLASSICS: Fresh Look for the Modern Man	[美] 大卫·冯 / [美] 叶娜·金	北京联合出版公司	2015-11	160	2015-12-14	NA	NA	8.2	NA	1	2019-01-31
9787201083209	25806628	NA	万物生长	NA	NA	冯唐	天津人民出版社	2014-9	240	2015-12-14	NA	NA	7	NA	1	2019-01-31
9787201083223	25869807	NA	欢喜	NA	NA	冯唐	天津人民出版社	2014-4	216	2015-12-14	NA	NA	6.6	NA	1	2019-01-31
9787201083193	25861738	NA	北京，北京	NA	NA	冯唐	天津人民出版社	2014-3	240	2015-12-14	NA	NA	7	NA	1	2019-01-31
